,id,name,type,rarity,event,group,standard,new
doomfist-tuxedo,doomfist-tuxedo,Tuxedo,sprays,common,,,False,False
doomfist-wrapped,doomfist-wrapped,Wrapped,sprays,common,,,False,False
doomfist-wrestle,doomfist-wrestle,Wrestle,sprays,common,,,False,False
doomfist-shot-put,doomfist-shot-put,Shot Put,sprays,common,SUMMER_GAMES,,False,True
doomfist-trick-or-treat,doomfist-trick-or-treat,Trick or Treat,sprays,common,HALLOWEEN,,False,True
doomfist-cute,doomfist-cute,Cute,sprays,common,,,False,False
doomfist-pixel,doomfist-pixel,Pixel,sprays,common,,,False,False
doomfist-heroic,doomfist-heroic,Heroic,intros,common,,,True,False
doomfist-meteor,doomfist-meteor,Meteor,intros,epic,,,False,False
doomfist-one-punch,doomfist-one-punch,One Punch,intros,epic,,,False,False
doomfist-uppercut,doomfist-uppercut,Uppercut,intros,epic,,,False,False
doomfist-heroic,doomfist-heroic,Heroic,poses,common,,,True,False
doomfist-intense,doomfist-intense,Intense,poses,rare,,,False,False
doomfist-seismic-slam,doomfist-seismic-slam,Seismic Slam,poses,rare,,,False,False
doomfist-superior,doomfist-superior,Superior,poses,rare,,,False,False
symmetra-such-a-lack-of-imagination,symmetra-such-a-lack-of-imagination,Such a lack of imagination,voicelines,common,,,True,False
symmetra-everything-by-design,symmetra-everything-by-design,Everything by design,voicelines,common,,,False,False
symmetra-exquisite,symmetra-exquisite,Exquisite,voicelines,common,,,False,False
symmetra-how-unsightly,symmetra-how-unsightly,How unsightly,voicelines,common,,,False,False
symmetra-i-dont-think-so,symmetra-i-dont-think-so,I don't think so,voicelines,common,,,False,False
symmetra-impressive,symmetra-impressive,Impressive,voicelines,common,,,False,False
symmetra-perfect-harmony,symmetra-perfect-harmony,Perfect harmony,voicelines,common,,,False,False
symmetra-precisely,symmetra-precisely,Precisely,voicelines,common,,,False,False
symmetra-put-you-in-your-place,symmetra-put-you-in-your-place,Put you in your place,voicelines,common,,,False,False
symmetra-welcome-to-my-reality,symmetra-welcome-to-my-reality,Welcome to my reality,voicelines,common,,,False,False
symmetra-why-do-you-struggle,symmetra-why-do-you-struggle,Why do you struggle?,voicelines,common,,,False,False
symmetra-hard-work-and-dedication,symmetra-hard-work-and-dedication,Hard work and dedication,voicelines,common,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
symmetra-a-frightening-thought,symmetra-a-frightening-thought,A frightening thought,voicelines,common,HALLOWEEN,HALLOWEEN_2016,False,False
symmetra-i-made-you-something,symmetra-i-made-you-something,I made you something,voicelines,common,WINTER_WONDERLAND_2016,,False,False
symmetra-good-fortune,symmetra-good-fortune,Good fortune,voicelines,common,YEAR_OF_THE_ROOSTER_2017,,False,False
symmetra-kindly-adjust,symmetra-kindly-adjust,Kindly adjust,voicelines,common,UPRISING_2017,,False,False
symmetra-taken-under-advisement,symmetra-taken-under-advisement,Taken under advisement,voicelines,common,UPRISING_2017,,False,False
symmetra-setting-up-the-car-wash,symmetra-setting-up-the-car-wash,Setting up the car wash,voicelines,common,ANNIVERSARY_2017,,False,False
symmetra-your-mind-works,symmetra-your-mind-works,Your mind works,voicelines,common,ANNIVERSARY_2017,,False,False
symmetra-victory-is-everything,symmetra-victory-is-everything,Victory is everything,voicelines,common,SUMMER_GAMES,,False,True
symmetra-the-treat-is-a-lie,symmetra-the-treat-is-a-lie,The treat is a lie,voicelines,common,HALLOWEEN,,False,True
symmetra-sentry,symmetra-sentry,Sentry,icons,,,,False,False
symmetra-symmetra,symmetra-symmetra,Symmetra,icons,,,,False,False
symmetra-vishkar,symmetra-vishkar,Vishkar,icons,,,,False,False
symmetra-rhythmic-gymnastics,symmetra-rhythmic-gymnastics,Rhythmic Gymnastics,icons,,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
symmetra-vaswanniversary,symmetra-vaswanniversary,Vaswanniversary,icons,,ANNIVERSARY_2017,,False,False
symmetra-the-summoner,symmetra-the-summoner,The Summoner,icons,,HALLOWEEN,,False,True
symmetra-heroic,symmetra-heroic,Heroic,emotes,common,,,True,False
symmetra-clap,symmetra-clap,Clap,emotes,epic,,,False,False
symmetra-flow,symmetra-flow,Flow,emotes,epic,,,False,False
symmetra-have-a-seat,symmetra-have-a-seat,Have a Seat,emotes,epic,,,False,False
symmetra-insignificant,symmetra-insignificant,Insignificant,emotes,epic,,,False,False
symmetra-snicker,symmetra-snicker,Snicker,emotes,epic,,,False,False
symmetra-ribbon,symmetra-ribbon,Ribbon,emotes,epic,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
symmetra-dance,symmetra-dance,Dance,emotes,epic,ANNIVERSARY_2017,,False,False
symmetra-classic,symmetra-classic,Classic,skins,common,,,True,False
symmetra-cardamom,symmetra-cardamom,Cardamom,skins,rare,,,False,False
symmetra-hyacinth,symmetra-hyacinth,Hyacinth,skins,rare,,,False,False
symmetra-saffron,symmetra-saffron,Saffron,skins,rare,,,False,False
symmetra-technomancer,symmetra-technomancer,Technomancer,skins,rare,,,False,False
symmetra-regal,symmetra-regal,Regal,skins,epic,,,False,False
symmetra-utopaea,symmetra-utopaea,Utopaea,skins,epic,,,False,False
symmetra-vampire,symmetra-vampire,Vampire,skins,epic,HALLOWEEN,HALLOWEEN_2016,False,False
symmetra-qipao,symmetra-qipao,Qipao,skins,epic,YEAR_OF_THE_ROOSTER_2017,,False,False
symmetra-architech,symmetra-architech,Architech,skins,legendary,,,False,False
symmetra-devi,symmetra-devi,Devi,skins,legendary,,,False,False
symmetra-goddess,symmetra-goddess,Goddess,skins,legendary,,,False,False
symmetra-vishkar,symmetra-vishkar,Vishkar,skins,legendary,,,False,False
symmetra-oasis,symmetra-oasis,Oasis,skins,legendary,ANNIVERSARY_2017,,False,False
symmetra-dragon,symmetra-dragon,Dragon,skins,legendary,HALLOWEEN,,False,True
symmetra-agent,symmetra-agent,Agent,sprays,common,,,False,False
symmetra-architect,symmetra-architect,Architect,sprays,common,,,False,False
symmetra-behold,symmetra-behold,Behold,sprays,common,,,False,False
symmetra-blueprint,symmetra-blueprint,Blueprint,sprays,common,,,False,False
symmetra-builder,symmetra-builder,Builder,sprays,common,,,False,False
symmetra-car-wash,symmetra-car-wash,Car Wash,sprays,common,,,False,False
symmetra-caution,symmetra-caution,Caution,sprays,common,,,False,False
symmetra-design,symmetra-design,Design,sprays,common,,,False,False
symmetra-glove,symmetra-glove,Glove,sprays,common,,,False,False
symmetra-icon,symmetra-icon,Icon,sprays,common,,,False,False
symmetra-light,symmetra-light,Light,sprays,common,,,False,False
symmetra-lines,symmetra-lines,Lines,sprays,common,,,False,False
symmetra-lotus,symmetra-lotus,Lotus,sprays,common,,,False,False
symmetra-pose,symmetra-pose,Pose,sprays,common,,,False,False
symmetra-projector,symmetra-projector,Projector,sprays,common,,,False,False
symmetra-satya,symmetra-satya,Satya,sprays,common,,,False,False
symmetra-superior,symmetra-superior,Superior,sprays,common,,,False,False
symmetra-the-path,symmetra-the-path,The Path,sprays,common,,,False,False
symmetra-vaswani,symmetra-vaswani,Vaswani,sprays,common,,,False,False
symmetra-vishkar,symmetra-vishkar,Vishkar,sprays,common,,,False,False
symmetra-visor,symmetra-visor,Visor,sprays,common,,,False,False
symmetra-weaver,symmetra-weaver,Weaver,sprays,common,,,False,False
symmetra-will,symmetra-will,Will,sprays,common,,,False,False
symmetra-rhythmic,symmetra-rhythmic,Rhythmic,sprays,common,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
symmetra-trick-or-treat,symmetra-trick-or-treat,Trick or Treat,sprays,common,HALLOWEEN,HALLOWEEN_2016,False,False
symmetra-ornament,symmetra-ornament,Ornament,sprays,common,WINTER_WONDERLAND_2016,,False,False
symmetra-snowflake,symmetra-snowflake,Snowflake,sprays,common,WINTER_WONDERLAND_2016,,False,False
symmetra-dragon-dance,symmetra-dragon-dance,Dragon Dance,sprays,common,YEAR_OF_THE_ROOSTER_2017,,False,False
symmetra-lantern,symmetra-lantern,Lantern,sprays,common,YEAR_OF_THE_ROOSTER_2017,,False,False
symmetra-student,symmetra-student,Student,sprays,common,UPRISING_2017,,False,False
symmetra-nine-of-diamonds,symmetra-nine-of-diamonds,Nine of Diamonds,sprays,common,ANNIVERSARY_2017,,False,False
symmetra-cute,symmetra-cute,Cute,sprays,common,,,False,False
symmetra-pixel,symmetra-pixel,Pixel,sprays,common,,,False,False
symmetra-heroic,symmetra-heroic,Heroic,intros,common,,,True,False
symmetra-askew,symmetra-askew,Askew,intros,epic,,,False,False
symmetra-dance,symmetra-dance,Dance,intros,epic,,,False,False
symmetra-my-reality,symmetra-my-reality,My reality,intros,epic,,,False,False
symmetra-snowflakes,symmetra-snowflakes,Snowflakes,intros,epic,WINTER_WONDERLAND_2016,,False,False
symmetra-heroic,symmetra-heroic,Heroic,poses,common,,,True,False
symmetra-balance,symmetra-balance,Balance,poses,rare,,,False,False
symmetra-creation,symmetra-creation,Creation,poses,rare,,,False,False
symmetra-dance,symmetra-dance,Dance,poses,rare,,,False,False
symmetra-rip,symmetra-rip,R.I.P.,poses,rare,HALLOWEEN,HALLOWEEN_2016,False,False
symmetra-light-reading,symmetra-light-reading,Light Reading,poses,rare,UPRISING_2017,,False,False
symmetra-medal,symmetra-medal,Medal,poses,rare,SUMMER_GAMES,,False,True
pharah-security-in-my-hands,pharah-security-in-my-hands,Security in my hands,voicelines,common,,,True,False
pharah-aerial-superiority-achieved,pharah-aerial-superiority-achieved,Aerial superiority achieved,voicelines,common,,,False,False
pharah-fly-like-an-egyptian,pharah-fly-like-an-egyptian,Fly like an egyptian,voicelines,common,,,False,False
pharah-flying-the-friendly-skies,pharah-flying-the-friendly-skies,Flying the friendly skies,voicelines,common,,,False,False
pharah-got-you-on-my-radar,pharah-got-you-on-my-radar,Got you on my radar,voicelines,common,,,False,False
pharah-leave-this-to-a-professional,pharah-leave-this-to-a-professional,Leave this to a professional,voicelines,common,,,False,False
pharah-not-a-chance,pharah-not-a-chance,Not a chance,voicelines,common,,,False,False
pharah-play-nice-play-pharah,pharah-play-nice-play-pharah,"Play nice, play Pharah",voicelines,common,,,False,False
pharah-rocket-jump,pharah-rocket-jump,Rocket jump?,voicelines,common,,,False,False
pharah-shot-down,pharah-shot-down,Shot down,voicelines,common,,,False,False
pharah-sorry-but-i-need-to-jet,pharah-sorry-but-i-need-to-jet,"Sorry, but I need to jet",voicelines,common,,,False,False
pharah-we-are-in-this-together,pharah-we-are-in-this-together,We are in this together,voicelines,common,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
pharah-dead-or-alive,pharah-dead-or-alive,Dead or alive,voicelines,common,HALLOWEEN,HALLOWEEN_2016,False,False
pharah-the-forecast,pharah-the-forecast,The forecast,voicelines,common,WINTER_WONDERLAND_2016,,False,False
pharah-i-keep-the-peace,pharah-i-keep-the-peace,I keep the peace,voicelines,common,YEAR_OF_THE_ROOSTER_2017,,False,False
pharah-dont-take-it-personally,pharah-dont-take-it-personally,Don't take it personally,voicelines,common,UPRISING_2017,,False,False
pharah-i-am-the-rocket-queen,pharah-i-am-the-rocket-queen,I am the Rocket Queen,voicelines,common,UPRISING_2017,,False,False
pharah-fly-casual,pharah-fly-casual,Fly casual,voicelines,common,ANNIVERSARY_2017,,False,False
pharah-try-me,pharah-try-me,Try me,voicelines,common,ANNIVERSARY_2017,,False,False
pharah-clear-skies-full-hearts,pharah-clear-skies-full-hearts,"Clear skies, full hearts",voicelines,common,SUMMER_GAMES,,False,True
pharah-im-so-scared,pharah-im-so-scared,I'm so scared,voicelines,common,HALLOWEEN,,False,True
pharah-pharah,pharah-pharah,Pharah,icons,,,,False,False
pharah-raptora,pharah-raptora,Raptora,icons,,,,False,False
pharah-wadjet,pharah-wadjet,Wadjet,icons,,,,False,False
pharah-basketball,pharah-basketball,Basketball,icons,,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
pharah-anniversareeha,pharah-anniversareeha,Anniversareeha,icons,,ANNIVERSARY_2017,,False,False
pharah-heroic,pharah-heroic,Heroic,emotes,common,,,True,False
pharah-cheer,pharah-cheer,Cheer,emotes,epic,,,False,False
pharah-chuckle,pharah-chuckle,Chuckle,emotes,epic,,,False,False
pharah-flourish,pharah-flourish,Flourish,emotes,epic,,,False,False
pharah-knuckles,pharah-knuckles,Knuckles,emotes,epic,,,False,False
pharah-take-a-knee,pharah-take-a-knee,Take a knee,emotes,epic,,,False,False
pharah-flair,pharah-flair,Flair,emotes,epic,UPRISING_2017,,False,False
pharah-rocket-guitar,pharah-rocket-guitar,Rocket Guitar,emotes,epic,ANNIVERSARY_2017,,False,False
pharah-classic,pharah-classic,Classic,skins,common,,,True,False
pharah-amethyst,pharah-amethyst,Amethyst,skins,rare,,,False,False
pharah-copper,pharah-copper,Copper,skins,rare,,,False,False
pharah-emerald,pharah-emerald,Emerald,skins,rare,,,False,False
pharah-titanium,pharah-titanium,Titanium,skins,rare,,,False,False
pharah-anubis,pharah-anubis,Anubis,skins,epic,,,False,False
pharah-jackal,pharah-jackal,Jackal,skins,epic,,,False,False
pharah-possessed,pharah-possessed,Possessed,skins,epic,HALLOWEEN,HALLOWEEN_2016,False,False
pharah-frostbite,pharah-frostbite,Frostbite,skins,epic,WINTER_WONDERLAND_2016,,False,False
pharah-mechaqueen,pharah-mechaqueen,Mechaqueen,skins,legendary,,,False,False
pharah-raindancer,pharah-raindancer,Raindancer,skins,legendary,,,False,False
pharah-raptorion,pharah-raptorion,Raptorion,skins,legendary,,,False,False
pharah-thunderbird,pharah-thunderbird,Thunderbird,skins,legendary,,,False,False
pharah-bedouin,pharah-bedouin,Bedouin,skins,legendary,ANNIVERSARY_2017,,False,False
pharah-security-chief,pharah-security-chief,Security Chief,skins,legendary,,,False,False
pharah-aerial-superiority,pharah-aerial-superiority,Aerial Superiority,sprays,common,,,False,False
pharah-amari,pharah-amari,Amari,sprays,common,,,False,False
pharah-ana,pharah-ana,Ana,sprays,common,,,False,False
pharah-cobra,pharah-cobra,Cobra,sprays,common,,,False,False
pharah-concussive-blast,pharah-concussive-blast,Concussive Blast,sprays,common,,,False,False
pharah-guardian,pharah-guardian,Guardian,sprays,common,,,False,False
pharah-hieroglyph,pharah-hieroglyph,Hieroglyph,sprays,common,,,False,False
pharah-icon,pharah-icon,Icon,sprays,common,,,False,False
pharah-incoming,pharah-incoming,Incoming,sprays,common,,,False,False
pharah-justice,pharah-justice,Justice...,sprays,common,,,False,False
pharah-on-guard,pharah-on-guard,On Guard,sprays,common,,,False,False
pharah-play-pharah,pharah-play-pharah,Play Pharah,sprays,common,,,False,False
pharah-raptora,pharah-raptora,Raptora,sprays,common,,,False,False
pharah-rocket-jump,pharah-rocket-jump,Rocket Jump,sprays,common,,,False,False
pharah-rocket-launcher,pharah-rocket-launcher,Rocket Launcher,sprays,common,,,False,False
pharah-salute,pharah-salute,Salute,sprays,common,,,False,False
pharah-scarab,pharah-scarab,Scarab,sprays,common,,,False,False
pharah-statue,pharah-statue,Statue,sprays,common,,,False,False
pharah-stone,pharah-stone,Stone,sprays,common,,,False,False
pharah-tattoo,pharah-tattoo,Tattoo,sprays,common,,,False,False
pharah-wedjat,pharah-wedjat,Wedjat,sprays,common,,,False,False
pharah-wings,pharah-wings,Wings,sprays,common,,,False,False
pharah-wrist-launcher,pharah-wrist-launcher,Wrist Launcher,sprays,common,,,False,False
pharah-basketball,pharah-basketball,Basketball,sprays,common,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
pharah-trick-or-treat,pharah-trick-or-treat,Trick or Treat,sprays,common,HALLOWEEN,HALLOWEEN_2016,False,False
pharah-ice-fishing,pharah-ice-fishing,Ice Fishing,sprays,common,WINTER_WONDERLAND_2016,,False,False
pharah-ornament,pharah-ornament,Ornament,sprays,common,WINTER_WONDERLAND_2016,,False,False
pharah-dragon-dance,pharah-dragon-dance,Dragon Dance,sprays,common,YEAR_OF_THE_ROOSTER_2017,,False,False
pharah-happy-new-year,pharah-happy-new-year,Happy New Year,sprays,common,YEAR_OF_THE_ROOSTER_2017,,False,False
pharah-target-practice,pharah-target-practice,Target Practice,sprays,common,UPRISING_2017,,False,False
pharah-queen-of-diamonds,pharah-queen-of-diamonds,Queen of Diamonds,sprays,common,ANNIVERSARY_2017,,False,False
pharah-cute,pharah-cute,Cute,sprays,common,,,False,False
pharah-pixel,pharah-pixel,Pixel,sprays,common,,,False,False
pharah-heroic,pharah-heroic,Heroic,intros,common,,,True,False
pharah-barrage,pharah-barrage,Barrage,intros,epic,,,False,False
pharah-mission-complete,pharah-mission-complete,Mission Complete,intros,epic,,,False,False
pharah-touchdown,pharah-touchdown,Touchdown,intros,epic,,,False,False
pharah-slam-dunk,pharah-slam-dunk,Slam Dunk,intros,epic,SUMMER_GAMES,,False,True
pharah-heroic,pharah-heroic,Heroic,poses,common,,,True,False
pharah-guardian,pharah-guardian,Guardian,poses,rare,,,False,False
pharah-jump-jet,pharah-jump-jet,Jump Jet,poses,rare,,,False,False
pharah-kneeling,pharah-kneeling,Kneeling,poses,rare,,,False,False
pharah-medal,pharah-medal,Medal,poses,rare,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
pharah-rip,pharah-rip,R.I.P.,poses,rare,HALLOWEEN,HALLOWEEN_2016,False,False
pharah-toast,pharah-toast,Toast,poses,rare,WINTER_WONDERLAND_2016,,False,False
torbjorn-hard-work-pays-off,torbjorn-hard-work-pays-off,Hard work pays off,voicelines,common,,,True,False
torbjorn-a-chicken-out-of-a-feather,torbjorn-a-chicken-out-of-a-feather,A chicken out of a feather,voicelines,common,,,False,False
torbjorn-completion-date,torbjorn-completion-date,Completion date?,voicelines,common,,,False,False
torbjorn-dont-get-caught,torbjorn-dont-get-caught,Don't get caught,voicelines,common,,,False,False
torbjorn-engineers,torbjorn-engineers,Engineers,voicelines,common,,,False,False
torbjorn-im-giving-it-all-ive-got,torbjorn-im-giving-it-all-ive-got,I'm giving it all I've got!,voicelines,common,,,False,False
torbjorn-im-swedish,torbjorn-im-swedish,I'm Swedish!,voicelines,common,,,False,False
torbjorn-leave-this-to-an-expert,torbjorn-leave-this-to-an-expert,Leave this to an expert,voicelines,common,,,False,False
torbjorn-lets-not-buy-the-pig,torbjorn-lets-not-buy-the-pig,Let's not buy the pig,voicelines,common,,,False,False
torbjorn-some-assembly-required,torbjorn-some-assembly-required,Some assembly required,voicelines,common,,,False,False
torbjorn-working-as-intended,torbjorn-working-as-intended,Working as intended,voicelines,common,,,False,False
torbjorn-more-where-that-came-from,torbjorn-more-where-that-came-from,More where that came from,voicelines,common,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
torbjorn-if-you-build-it,torbjorn-if-you-build-it,If you build it,voicelines,common,HALLOWEEN,HALLOWEEN_2016,False,False
torbjorn-made-to-order,torbjorn-made-to-order,Made to order,voicelines,common,WINTER_WONDERLAND_2016,,False,False
torbjorn-too-hot-for-you,torbjorn-too-hot-for-you,Too hot for you?,voicelines,common,YEAR_OF_THE_ROOSTER_2017,,False,False
torbjorn-just-start-hammering,torbjorn-just-start-hammering,Just start hammering,voicelines,common,UPRISING_2017,,False,False
torbjorn-poor-craftsman,torbjorn-poor-craftsman,Poor craftsman,voicelines,common,UPRISING_2017,,False,False
torbjorn-hear-me-baby,torbjorn-hear-me-baby,"Hear me, baby?",voicelines,common,ANNIVERSARY_2017,,False,False
torbjorn-trust-me,torbjorn-trust-me,Trust me,voicelines,common,ANNIVERSARY_2017,,False,False
torbjorn-theres-no-prize-for-second,torbjorn-theres-no-prize-for-second,There's no prize for second,voicelines,common,SUMMER_GAMES,,False,True
torbjorn-i-smell-trouble-brewing,torbjorn-i-smell-trouble-brewing,I smell trouble brewing,voicelines,common,HALLOWEEN,,False,True
torbjorn-forge,torbjorn-forge,Forge,icons,,,,False,False
torbjorn-gears,torbjorn-gears,Gears,icons,,,,False,False
torbjorn-torbjorn,torbjorn-torbjorn,Torbjörn,icons,,,,False,False
torbjorn-water-polo,torbjorn-water-polo,Water Polo,icons,,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
torbjorn-santaclad,torbjorn-santaclad,Santaclad,icons,,WINTER_WONDERLAND_2016,,False,False
torbjorn-chief-engineer,torbjorn-chief-engineer,Chief Engineer,icons,,UPRISING_2017,,False,False
torbjorn-goldclad,torbjorn-goldclad,Goldclad,icons,,ANNIVERSARY_2017,,False,False
torbjorn-viking,torbjorn-viking,Viking,icons,,HALLOWEEN,,False,True
torbjorn-heroic,torbjorn-heroic,Heroic,emotes,common,,,True,False
torbjorn-clicking-heels,torbjorn-clicking-heels,Clicking heels,emotes,epic,,,False,False
torbjorn-fisticuffs,torbjorn-fisticuffs,Fisticuffs,emotes,epic,,,False,False
torbjorn-guffaw,torbjorn-guffaw,Guffaw,emotes,epic,,,False,False
torbjorn-overload,torbjorn-overload,Overload,emotes,epic,,,False,False
torbjorn-taking-a-break,torbjorn-taking-a-break,Taking a Break,emotes,epic,,,False,False
torbjorn-dance,torbjorn-dance,Dance,emotes,epic,ANNIVERSARY_2017,,False,False
torbjorn-batter-up,torbjorn-batter-up,Batter Up,emotes,epic,HALLOWEEN,,False,True
torbjorn-classic,torbjorn-classic,Classic,skins,common,,,True,False
torbjorn-bla,torbjorn-bla,Blå,skins,rare,,,False,False
torbjorn-citron,torbjorn-citron,Citron,skins,rare,,,False,False
torbjorn-gron,torbjorn-gron,Grön,skins,rare,,,False,False
torbjorn-plommon,torbjorn-plommon,Plommon,skins,rare,,,False,False
torbjorn-cathode,torbjorn-cathode,Cathode,skins,epic,,,False,False
torbjorn-woodclad,torbjorn-woodclad,Woodclad,skins,epic,,,False,False
torbjorn-tre-kronor,torbjorn-tre-kronor,Tre Kronor,skins,epic,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
torbjorn-barbarossa,torbjorn-barbarossa,Barbarossa,skins,legendary,,,False,False
torbjorn-blackbeard,torbjorn-blackbeard,Blackbeard,skins,legendary,,,False,False
torbjorn-chopper,torbjorn-chopper,Chopper,skins,legendary,,,False,False
torbjorn-deadlock,torbjorn-deadlock,Deadlock,skins,legendary,,,False,False
torbjorn-santaclad,torbjorn-santaclad,Santaclad,skins,legendary,WINTER_WONDERLAND_2016,,False,False
torbjorn-chief-engineer-lindholm,torbjorn-chief-engineer-lindholm,Chief Engineer Lindholm,skins,legendary,UPRISING_2017,,False,False
torbjorn-ironclad,torbjorn-ironclad,Ironclad,skins,legendary,UPRISING_2017,,False,False
torbjorn-viking,torbjorn-viking,Viking,skins,legendary,HALLOWEEN,,False,True
torbjorn-armor,torbjorn-armor,Armor,sprays,common,,,False,False
torbjorn-beard,torbjorn-beard,Beard,sprays,common,,,False,False
torbjorn-catch-a-ride,torbjorn-catch-a-ride,Catch a Ride,sprays,common,,,False,False
torbjorn-chef,torbjorn-chef,Chef,sprays,common,,,False,False
torbjorn-claw,torbjorn-claw,Claw,sprays,common,,,False,False
torbjorn-fix-it-up,torbjorn-fix-it-up,Fix It Up,sprays,common,,,False,False
torbjorn-forged,torbjorn-forged,Forged,sprays,common,,,False,False
torbjorn-gears,torbjorn-gears,Gears,sprays,common,,,False,False
torbjorn-get-ready,torbjorn-get-ready,Get Ready,sprays,common,,,False,False
torbjorn-hammer,torbjorn-hammer,Hammer,sprays,common,,,False,False
torbjorn-hot,torbjorn-hot,Hot,sprays,common,,,False,False
torbjorn-icon,torbjorn-icon,Icon,sprays,common,,,False,False
torbjorn-ironclad,torbjorn-ironclad,Ironclad,sprays,common,,,False,False
torbjorn-kanon,torbjorn-kanon,Kanon,sprays,common,,,False,False
torbjorn-mask,torbjorn-mask,Mask,sprays,common,,,False,False
torbjorn-molten-core,torbjorn-molten-core,Molten Core,sprays,common,,,False,False
torbjorn-ready-to-work,torbjorn-ready-to-work,Ready to Work,sprays,common,,,False,False
torbjorn-run,torbjorn-run,Run!,sprays,common,,,False,False
torbjorn-smalt,torbjorn-smalt,Smält,sprays,common,,,False,False
torbjorn-stoic,torbjorn-stoic,Stoic,sprays,common,,,False,False
torbjorn-turret,torbjorn-turret,Turret,sprays,common,,,False,False
torbjorn-turrets,torbjorn-turrets,Turrets,sprays,common,,,False,False
torbjorn-uppgradera,torbjorn-uppgradera,Uppgradera,sprays,common,,,False,False
torbjorn-water-polo,torbjorn-water-polo,Water Polo,sprays,common,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
torbjorn-trick-or-treat,torbjorn-trick-or-treat,Trick or Treat,sprays,common,HALLOWEEN,HALLOWEEN_2016,False,False
torbjorn-ornament,torbjorn-ornament,Ornament,sprays,common,WINTER_WONDERLAND_2016,,False,False
torbjorn-workshop,torbjorn-workshop,Workshop,sprays,common,WINTER_WONDERLAND_2016,,False,False
torbjorn-dragon-dance,torbjorn-dragon-dance,Dragon Dance,sprays,common,YEAR_OF_THE_ROOSTER_2017,,False,False
torbjorn-gold,torbjorn-gold,Gold,sprays,common,YEAR_OF_THE_ROOSTER_2017,,False,False
torbjorn-brigitte,torbjorn-brigitte,Brigitte,sprays,common,UPRISING_2017,,False,False
torbjorn-king-of-clubs,torbjorn-king-of-clubs,King of Clubs,sprays,common,ANNIVERSARY_2017,,False,False
torbjorn-cute,torbjorn-cute,Cute,sprays,common,,,False,False
torbjorn-pixel,torbjorn-pixel,Pixel,sprays,common,,,False,False
torbjorn-heroic,torbjorn-heroic,Heroic,intros,common,,,True,False
torbjorn-in-your-face,torbjorn-in-your-face,In your face,intros,epic,,,False,False
torbjorn-refreshing,torbjorn-refreshing,Refreshing,intros,epic,,,False,False
torbjorn-ride-em,torbjorn-ride-em,Ride 'Em,intros,epic,,,False,False
torbjorn-my-baby,torbjorn-my-baby,My baby,intros,epic,UPRISING_2017,,False,False
torbjorn-heroic,torbjorn-heroic,Heroic,poses,common,,,True,False
torbjorn-hammer,torbjorn-hammer,Hammer,poses,rare,,,False,False
torbjorn-sitting-pretty,torbjorn-sitting-pretty,Sitting Pretty,poses,rare,,,False,False
torbjorn-take-five,torbjorn-take-five,Take five,poses,rare,,,False,False
torbjorn-medal,torbjorn-medal,Medal,poses,rare,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
torbjorn-rip,torbjorn-rip,R.I.P.,poses,rare,HALLOWEEN,HALLOWEEN_2016,False,False
torbjorn-toast,torbjorn-toast,Toast,poses,rare,WINTER_WONDERLAND_2016,,False,False
widowmaker-a-single-death,widowmaker-a-single-death,A single death,voicelines,common,,,True,False
widowmaker-encore,widowmaker-encore,Encore?,voicelines,common,,,False,False
widowmaker-let-them-eat-cake,widowmaker-let-them-eat-cake,Let them eat cake,voicelines,common,,,False,False
widowmaker-look-for-the-woman,widowmaker-look-for-the-woman,Look for the woman,voicelines,common,,,False,False
widowmaker-magnifique,widowmaker-magnifique,Magnifique,voicelines,common,,,False,False
widowmaker-one-shot-one-kill,widowmaker-one-shot-one-kill,"One shot, one kill",voicelines,common,,,False,False
widowmaker-ouh-la-la,widowmaker-ouh-la-la,Ouh là là,voicelines,common,,,False,False
widowmaker-step-into-my-parlor,widowmaker-step-into-my-parlor,Step into my parlor...,voicelines,common,,,False,False
widowmaker-thats-how-it-is,widowmaker-thats-how-it-is,That's how it is,voicelines,common,,,False,False
widowmaker-to-life-to-death,widowmaker-to-life-to-death,"To life, to death",voicelines,common,,,False,False
widowmaker-whats-an-aimbot,widowmaker-whats-an-aimbot,What's an aimbot?,voicelines,common,,,False,False
widowmaker-i-dont-miss,widowmaker-i-dont-miss,I don't miss,voicelines,common,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
widowmaker-the-party-is-over,widowmaker-the-party-is-over,The party is over,voicelines,common,HALLOWEEN,HALLOWEEN_2016,False,False
widowmaker-exquisite,widowmaker-exquisite,Exquisite,voicelines,common,WINTER_WONDERLAND_2016,,False,False
